<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
جم-ا,20220510,48400.00,48400,47450,47770.00,47800,65521570040.00,964,47800
جم-ا,20220511,47600.00,48390,47050,47850.00,47770,94481178110.00,1105,47770
جم-ا,20220514,48300.00,48300,47350,47750.00,47850,60760400690.00,820,47850
جم-ا,20220515,48200.00,48200,46440,47420.00,47750,48658793450.00,667,47750
جم-ا,20220516,47010.00,47900,46880,47380.00,47420,91629675830.00,937,47420
جم-ا,20220517,47000.00,49450,47000,47920.00,47380,654694275400.00,2907,47380
جم-ا,20220518,50000.00,50000,48490,48970.00,47920,169072964700.00,1809,47920
جم-ا,20220521,48680.00,48680,47200,48000.00,48970,78276629110.00,884,48970
جم-ا,20220522,47650.00,48770,47000,47940.00,48000,101507335580.00,508,48000
جم-ا,20220523,48690.00,48690,46250,47280.00,47940,73551122830.00,779,47940
جم-ا,20220524,46500.00,47950,46500,47270.00,47280,51171141270.00,363,47280
جم-ا,20220525,46860.00,47880,46860,47190.00,47270,153766847170.00,511,47270
جم-ا,20220528,47200.00,47980,46540,47130.00,47190,28527738820.00,367,47190
جم-ا,20220529,46600.00,47800,45810,47030.00,47130,37627322490.00,396,47130
جم-ا,20220530,46130.00,47800,46130,46980.00,47030,44539872370.00,474,47030
جم-ا,20220531,46700.00,47990,46360,47120.00,46980,263983097100.00,909,46980
جم-ا,20220601,0.00,0,0,47120.00,47120,0.00,0,47120
جم-ا,20220606,46730.00,46750,44400,46060.00,47120,69130096330.00,999,47120
جم-ا,20220607,44700.00,46400,44700,46070.00,46060,55096543260.00,399,46060
جم-ا,20220608,46080.00,46800,45750,46050.00,46070,139831913500.00,390,46070
جم-ا,20220611,46800.00,46800,45500,46040.00,46050,35266244800.00,359,46050
جم-ا,20220612,45730.00,46350,45600,46040.00,46040,43605032960.00,639,46040
جم-ا,20220613,46640.00,48100,46350,46720.00,46040,52919659350.00,395,46040
جم-ا,20220614,47900.00,47900,46510,46760.00,46720,16768550180.00,228,46720
جم-ا,20220615,46510.00,47740,46000,46710.00,46760,16705940030.00,255,46760
جم-ا,20220618,46310.00,46690,45300,46500.00,46710,24187939300.00,438,46710
جم-ا,20220619,46480.00,47470,46100,46440.00,46500,59920886040.00,320,46500
جم-ا,20220620,46010.00,46460,46000,46410.00,46440,69096875840.00,351,46440
جم-ا,20220621,46000.00,46440,45700,46190.00,46410,75877192520.00,595,46410
جم-ا,20220622,45700.00,46180,45500,45860.00,46190,119134395590.00,887,46190
جم-ا,20220625,45400.00,45800,44000,45410.00,45860,34362598250.00,420,45860
جم-ا,20220626,44010.00,44990,43150,44240.00,45410,118757810960.00,752,45410
جم-ا,20220627,43200.00,45240,43200,44240.00,44240,162110481250.00,394,44240
جم-ا,20220628,44310.00,45500,44200,44290.00,44240,289114527560.00,431,44240
جم-ا,20220629,45110.00,45110,44000,44290.00,44290,28888973890.00,315,44290
جم-ا,20220702,44500.00,44500,43000,44150.00,44290,17640298790.00,278,44290
جم-ا,20220703,43120.00,44300,43120,44120.00,44150,51055555400.00,403,44150
جم-ا,20220704,44390.00,44420,44000,44120.00,44120,13882952890.00,157,44120
جم-ا,20220705,44130.00,44940,44090,44140.00,44120,21060946680.00,207,44120
جم-ا,20220706,44140.00,44280,43100,44100.00,44140,10931218660.00,169,44140
جم-ا,20220709,43780.00,44900,43780,44090.00,44100,22330745050.00,204,44100
جم-ا,20220711,42800.00,44000,42000,43880.00,44090,19012708320.00,297,44090
جم-ا,20220712,44140.00,44140,42700,43600.00,43880,79505540330.00,586,43880
جم-ا,20220713,43520.00,44030,43350,43580.00,43600,19299186340.00,348,43600
جم-ا,20220716,42400.00,43460,42000,43300.00,43580,38318462320.00,281,43580
جم-ا,20220717,42760.00,43000,41140,42590.00,43300,37172019650.00,553,43300
جم-ا,20220719,41900.00,43000,41900,42600.00,42590,17044092180.00,443,42590
جم-ا,20220720,42990.00,42990,41910,42580.00,42600,14423355910.00,232,42600
جم-ا,20220723,43270.00,43270,41250,42400.00,42580,27582340060.00,362,42580
جم-ا,20220724,41300.00,42550,40280,42080.00,42400,22152972710.00,336,42400
جم-ا,20220725,41890.00,41890,41050,41950.00,42080,14575975610.00,237,42080
جم-ا,20220726,41500.00,42450,41450,41890.00,41950,61172576600.00,253,41950
جم-ا,20220727,42250.00,42250,41600,41880.00,41890,17621456210.00,261,41890
جم-ا,20220730,42700.00,42700,41100,41830.00,41880,15205884050.00,273,41880
جم-ا,20220731,41100.00,41890,40210,41660.00,41830,25023063160.00,349,41830
جم-ا,20220801,41970.00,43000,40530,41730.00,41660,48844167880.00,490,41660
جم-ا,20220802,41730.00,42970,41500,41780.00,41730,43574356860.00,235,41730
جم-ا,20220803,41780.00,42680,41710,41790.00,41780,18782531930.00,197,41780
جم-ا,20220806,42890.00,42890,41740,41810.00,41790,222554170930.00,341,41790
جم-ا,20220809,42540.00,42540,41500,41800.00,41810,18102879060.00,241,41810
جم-ا,20220810,41210.00,41990,40870,41760.00,41800,17093850030.00,170,41800
جم-ا,20220813,40910.00,42400,40910,41470.00,41760,95136882530.00,604,41760
جم-ا,20220814,42320.00,42320,40800,41440.00,41470,8450803860.00,242,41470
جم-ا,20220815,41500.00,41500,40800,41370.00,41440,18463435500.00,257,41440
جم-ا,20220816,41220.00,41220,39840,40890.00,41370,36690626100.00,581,41370
جم-ا,20220817,39800.00,40720,38850,39980.00,40890,50740499070.00,684,40890
جم-ا,20220820,40000.00,40000,38400,39720.00,39980,26629084940.00,390,39980
جم-ا,20220821,39000.00,40490,38910,39640.00,39720,30067669860.00,293,39720
جم-ا,20220822,39890.00,39890,38650,39390.00,39640,35878741390.00,321,39640
جم-ا,20220823,39000.00,39890,38500,39110.00,39390,69901323900.00,886,39390
جم-ا,20220824,39100.00,39300,38630,38960.00,39110,41376590980.00,583,39110
جم-ا,20220827,38990.00,39210,38680,38900.00,38960,49421145540.00,620,38960
جم-ا,20220828,38660.00,39000,38260,38740.00,38900,42433267320.00,430,38900
جم-ا,20220829,38740.00,38740,37950,38410.00,38740,56553893980.00,637,38740
جم-ا,20220830,38520.00,40000,37510,38940.00,38410,110667725580.00,1173,38410
جم-ا,20220831,39900.00,39900,38950,39030.00,38940,47222240670.00,720,38940
جم-ا,20220903,38100.00,39170,37570,38740.00,39030,49560128600.00,452,39030
جم-ا,20220904,38740.00,39200,38110,38740.00,38740,37517479120.00,312,38740
جم-ا,20220905,38200.00,39000,38200,38730.00,38740,53537332470.00,386,38740
